394954;5897045
394315;5897562
393676;5898079
393038;5898596
392399;5899114
391760;5899631
391122;5900148
390483;5900665
389845;5901183
389206;5901700
388568;5902218
387929;5902735
387985;5903523
388041;5904311
388097;5905099
388153;5905887
388209;5906675
388265;5907463
388971;5907930
389624;5908466
390229;5907976
390834;5907486
391439;5906996
392044;5906506
392649;5906016
393254;5905526
393859;5905036
394465;5904546
395070;5904056
395675;5903566
396281;5903077
396225;5902259
396170;5901440
394840;5898551
394107;5899145
393373;5899739
392640;5900334
391907;5900928
391174;5901522
390441;5902117
389708;5902711
388975;5903306
394974;5899873
394241;5900466
393509;5901060
392777;5901653
392045;5902246
391313;5902840
390580;5903434
389848;5904027
389117;5904621
395204;5901199
392948;5902936
392212;5903533
391477;5904129
390741;5904726
390006;5905323
389271;5905920
395287;5902461
394553;5903055
393820;5903649
393086;5904243
392353;5904837
391619;5905431
390886;5906025
390153;5906619
389420;5907213
